City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Cheney,US,2021-10-28 23:46:54,47.4874,-117.5758,63.99,68,90,25.32,overcast clouds
118,El Dorado,US,2021-10-28 23:46:54,38.7666,-120.5177,73.42,60,0,1.01,clear sky
119,Leshukonskoye,RU,2021-10-28 23:46:55,64.8989,45.7622,19.4,98,84,3.11,broken clouds
120,Khuzhir,RU,2021-10-28 23:46:55,53.1939,107.3397,30.85,46,31,8.39,scattered clouds
121,Havre-Saint-Pierre,CA,2021-10-28 23:46:56,50.2334,-63.5986,46.4,75,1,9.22,clear sky
122,Chapais,CA,2021-10-28 23:46:56,49.7834,-74.8492,42.58,64,0,5.55,clear sky
123,Bengkulu,ID,2021-10-28 23:46:57,-3.8004,102.2655,78.22,82,87,2.51,overcast clouds
124,San Cristobal,VE,2021-10-28 23:46:57,7.7669,-72.225,75.38,98,73,3.65,broken clouds
125,Kaitangata,NZ,2021-10-28 23:46:57,-46.2817,169.8464,60.8,69,54,6.53,broken clouds
126,Taoudenni,ML,2021-10-28 23:46:58,22.6783,-3.9836,83.77,32,96,5.46,overcast clouds
127,Vanimo,PG,2021-10-28 23:46:58,-2.6741,141.3028,83.21,75,93,4.79,overcast clouds
128,Mount Isa,AU,2021-10-28 23:46:58,-20.7333,139.5,74.97,94,90,10.36,overcast clouds
129,Pacific Grove,US,2021-10-28 23:46:59,36.6177,-121.9166,81.57,69,1,3.0,clear sky
130,Airai,TL,2021-10-28 23:46:59,-8.9266,125.4092,72.07,57,99,1.97,overcast clouds
131,Tuatapere,NZ,2021-10-28 23:47:00,-46.1333,167.6833,66.56,57,45,5.01,scattered clouds
132,Kieta,PG,2021-10-28 23:47:00,-6.2167,155.6333,86.02,62,79,4.56,broken clouds
133,Disna,BY,2021-10-28 23:47:01,55.568,28.1971,49.26,95,99,7.96,overcast clouds
134,Tutoia,BR,2021-10-28 23:47:01,-2.7619,-42.2744,80.96,78,57,9.55,broken clouds
135,Lagoa,PT,2021-10-28 23:47:02,39.05,-27.9833,69.06,88,96,35.1,overcast clouds
136,Clyde River,CA,2021-10-28 23:47:03,70.4692,-68.5914,32.23,100,90,2.3,light snow
137,Katsuura,JP,2021-10-28 23:47:03,35.1333,140.3,62.19,53,91,23.96,overcast clouds
138,Sal Rei,CV,2021-10-28 23:47:04,16.1833,-22.9167,77.56,80,86,17.34,overcast clouds
139,Rochester,US,2021-10-28 23:43:21,43.1548,-77.6156,51.42,89,75,1.01,broken clouds
140,Cabo San Lucas,MX,2021-10-28 23:43:20,22.8909,-109.9124,85.51,65,2,5.23,clear sky
141,Avarua,CK,2021-10-28 23:45:11,-21.2078,-159.775,75.25,69,75,9.22,broken clouds
142,Iquique,CL,2021-10-28 23:42:13,-20.2208,-70.1431,62.64,75,55,2.01,broken clouds
143,Ponta Do Sol,PT,2021-10-28 23:47:05,32.6667,-17.1,69.12,69,81,5.66,broken clouds
144,Plymouth,US,2021-10-28 23:47:05,41.8334,-70.8328,51.69,77,90,1.01,overcast clouds
145,Iqaluit,CA,2021-10-28 23:47:05,63.7506,-68.5145,38.7,55,90,11.01,overcast clouds
146,Teguldet,RU,2021-10-28 23:47:06,57.3064,88.1667,32.43,48,100,11.59,overcast clouds
147,Maracai,BR,2021-10-28 23:47:06,-22.6106,-50.6672,72.48,82,79,13.98,broken clouds
148,Barrow,US,2021-10-28 23:47:07,71.2906,-156.7887,23.02,80,90,13.8,light snow
149,Saint-Philippe,RE,2021-10-28 23:47:07,-21.3585,55.7679,74.79,81,3,2.17,light rain
150,Yar-Sale,RU,2021-10-28 23:47:08,66.8333,70.8333,23.0,96,100,10.22,light snow
151,Aku,NG,2021-10-28 23:47:08,6.7081,7.3167,72.64,93,75,2.26,broken clouds
152,Nishihara,JP,2021-10-28 23:47:09,26.1842,127.7558,72.68,62,20,5.75,few clouds
153,Mitsamiouli,KM,2021-10-28 23:47:09,-11.3847,43.2844,78.55,73,8,10.25,clear sky
154,Torbay,CA,2021-10-28 23:47:10,47.6666,-52.7314,39.58,94,90,17.27,overcast clouds
155,Mar Del Plata,AR,2021-10-28 23:42:24,-38.0023,-57.5575,68.02,86,0,23.0,clear sky
156,Kudahuvadhoo,MV,2021-10-28 23:47:10,2.6708,72.8944,81.43,76,83,9.24,broken clouds
157,Morehead,US,2021-10-28 23:47:11,37.2711,-87.1764,58.95,91,90,7.0,heavy intensity rain
158,Boueni,YT,2021-10-28 23:47:11,-12.9025,45.0761,78.78,70,50,14.09,scattered clouds
159,Kimbe,PG,2021-10-28 23:47:12,-5.5502,150.1429,88.52,61,85,4.09,overcast clouds
160,Palimbang,PH,2021-10-28 23:47:12,6.2106,124.1894,84.22,68,19,1.23,few clouds
161,Batagay,RU,2021-10-28 23:47:13,67.6333,134.6333,13.39,88,100,4.36,overcast clouds
162,Ribeira Grande,PT,2021-10-28 23:47:13,38.5167,-28.7,70.52,90,93,30.67,overcast clouds
163,Waddan,LY,2021-10-28 23:47:13,29.1614,16.139,68.22,45,77,4.52,broken clouds
164,Cherskiy,RU,2021-10-28 23:47:14,68.75,161.3,-11.38,91,91,3.44,overcast clouds
165,Koslan,RU,2021-10-28 23:47:14,63.4564,48.8989,20.71,93,37,5.23,scattered clouds
166,Chokurdakh,RU,2021-10-28 23:47:15,70.6333,147.9167,-6.03,94,97,3.67,overcast clouds
167,Panjab,AF,2021-10-28 23:47:15,34.388,67.0233,32.11,67,70,2.08,broken clouds
168,Moree,AU,2021-10-28 23:47:16,-29.4667,149.85,68.02,77,90,17.27,light rain
169,Samarai,PG,2021-10-28 23:47:16,-10.6167,150.6667,83.97,76,21,11.39,few clouds
170,Bethel,US,2021-10-28 23:47:16,41.3712,-73.414,53.91,81,90,4.61,overcast clouds
171,Cap Malheureux,MU,2021-10-28 23:47:17,-19.9842,57.6142,74.46,75,8,5.01,clear sky
172,Batie,BF,2021-10-28 23:47:17,9.8833,-2.9167,75.18,81,59,4.74,broken clouds
173,Laguna,US,2021-10-28 23:47:18,38.421,-121.4238,77.76,63,1,1.99,clear sky
174,Den Helder,NL,2021-10-28 23:47:18,52.9599,4.7593,53.98,83,0,14.0,clear sky
175,Yuanping,CN,2021-10-28 23:47:19,38.7153,112.7575,47.82,69,73,1.12,broken clouds
